task,hash,cost,points,n_nodes,status,ops,dsl_rule
248,a3df8b1e,151,19.982720163185075,8,baseline,ReduceSum:1;QuantizeLinear:1;Mod:1;Sub:1;Min:1;Concat:1;Cast:1;ScatterElements:1,"x1 = shape(I) | x2 = ofcolor(I, ONE) | x3 = first(x2) | x4 = shoot(x3, UP_RIGHT) | x5 = fill(I, ONE, x4) | x6 = ofcolor(x5, ONE) | x7 = urcorner(x6) | x8 = shoot(x7, NEG_UNITY) | x9 = fill(x5, ONE, x8) | x10 = objects(x9, T, T, T) | x11 = first(x10) | x12 = subgrid(x11, x9) | x13 = shape(x12) | x14 "
249,a416b8f3,287,19.34051778424038,6,baseline,Gather:2;Slice:1;ReduceSum:1;Cast:1;Pad:1,"O = hconcat(I, I)"
250,a48eeaf7,3925,16.72487836978349,35,baseline,Mul:5;Cast:4;ReduceSum:4;Sub:4;Add:3;Reshape:3;Slice:2;Squeeze:2;Clip:2;ScatterElements:1;Or:1;Not:1;And:1;Concat:1;Pad:1,"x1 = ofcolor(I, TWO) | x2 = outbox(x1) | x3 = apply(initset, x2) | x4 = ofcolor(I, FIVE) | x5 = lbind(argmin, x3) | x6 = lbind(lbind, manhattan) | x7 = compose(x6, initset) | x8 = compose(x5, x7) | x9 = mapply(x8, x4) | x10 = cover(I, x4) | O = fill(x10, FIVE, x9)"
251,a5313dff,4920,16.498936190513646,26,baseline,Mul:10;MaxPool:8;Slice:2;Cast:2;Sub:2;Concat:1;Pad:1,"x1 = objects(I, T, F, F) | x2 = colorfilter(x1, ZERO) | x3 = rbind(bordering, I) | x4 = compose(flip, x3) | x5 = mfilter(x2, x4) | O = fill(I, ONE, x5)"
252,a5f85a15,260,19.439318368984473,1,baseline,Einsum:1,"x1 = objects(I, T, T, T) | x2 = interval(ONE, NINE, ONE) | x3 = apply(double, x2) | x4 = apply(decrement, x3) | x5 = papply(astuple, x4, x4) | x6 = apply(ulcorner, x1) | x7 = lbind(shift, x5) | x8 = mapply(x7, x6) | O = fill(I, FOUR, x8)"
253,a61ba2ce,592,18.616493365115993,22,baseline,Concat:5;And:4;Einsum:2;Cast:2;Unsqueeze:2;Mod:2;Equal:2;Greater:2;Pad:1,"x1 = objects(I, T, F, T) | x2 = lbind(index, I) | x3 = matcher(x2, ZERO) | x4 = lbind(extract, x1) | x5 = rbind(subgrid, I) | x6 = lbind(compose, x3) | x7 = chain(x5, x4, x6) | x8 = x7(ulcorner) | x9 = x7(urcorner) | x10 = x7(llcorner) | x11 = x7(lrcorner) | x12 = hconcat(x11, x10) | x13 = hconcat(x"
254,a61f2674,1098,17.998754377930524,15,baseline,Equal:2;Cast:2;And:2;Slice:1;ReduceSum:1;ReduceMax:1;Where:1;ReduceMin:1;Or:1;Not:1;Concat:1;Pad:1,"x1 = objects(I, T, F, T) | x2 = argmax(x1, size) | x3 = argmin(x1, size) | x4 = replace(I, FIVE, ZERO) | x5 = recolor(ONE, x2) | x6 = recolor(TWO, x3) | x7 = combine(x5, x6) | O = paint(x4, x7)"
255,a64e4611,23017,14.956011647676306,141,baseline,Equal:20;And:19;Cast:18;Reshape:13;Slice:12;QLinearConv:12;Or:12;Sub:7;ReduceSum:5;ConvTranspose:4;Greater:4;GreaterOrEqual:4;MatMul:4;Mul:2;ReduceMax:2;Less:2;Where:1,"x1 = asindices(I) | x2 = fork(product, identity, identity) | x3 = lbind(canvas, ZERO) | x4 = compose(asobject, x3) | x5 = fork(multiply, first, last) | x6 = compose(positive, size) | x7 = lbind(lbind, shift) | x8 = rbind(fork, x5) | x9 = lbind(x8, multiply) | x10 = lbind(chain, x6) | x11 = rbind(x10"
256,a65b410d,2948,17.011117746690772,20,baseline,And:4;Slice:2;Cast:2;Less:2;ReduceMax:1;ReduceSum:1;ArgMax:1;Add:1;Sub:1;Greater:1;Equal:1;Not:1;Concat:1;Pad:1,"x1 = ofcolor(I, TWO) | x2 = urcorner(x1) | x3 = shoot(x2, UP_RIGHT) | x4 = shoot(x2, DOWN_LEFT) | x5 = underfill(I, THREE, x3) | x6 = underfill(x5, ONE, x4) | x7 = rbind(shoot, LEFT) | x8 = mapply(x7, x3) | x9 = mapply(x7, x4) | x10 = underfill(x6, ONE, x9) | O = underfill(x10, THREE, x8)"
257,a68b268e,409,18.986284843957197,1,baseline,Conv:1,"x1 = tophalf(I) | x2 = bottomhalf(I) | x3 = lefthalf(x1) | x4 = righthalf(x1) | x5 = lefthalf(x2) | x6 = righthalf(x2) | x7 = ofcolor(x4, FOUR) | x8 = ofcolor(x3, SEVEN) | x9 = ofcolor(x5, EIGHT) | x10 = fill(x6, EIGHT, x9) | x11 = fill(x10, FOUR, x7) | O = fill(x11, SEVEN, x8)"
258,a699fb00,160,19.924826184766175,1,baseline,Conv:1,"x1 = ofcolor(I, ONE) | x2 = shift(x1, RIGHT) | x3 = shift(x1, LEFT) | x4 = intersection(x2, x3) | O = fill(I, TWO, x4)"
259,a740d043,905,18.192065056300073,42,baseline,Cast:9;Less:4;Unsqueeze:4;And:3;Add:3;Where:3;Concat:3;Slice:2;ReduceSum:2;ReduceMax:2;ArgMax:2;Gather:2;Conv:1;Equal:1;Pad:1,"x1 = objects(I, T, T, T) | x2 = merge(x1) | x3 = subgrid(x2, I) | O = replace(x3, ONE, ZERO)"
260,a78176bb,2114,17.343662833569816,45,baseline,Cast:9;Where:5;Sub:5;Add:4;Mul:4;ReduceMax:3;Greater:2;Concat:2;Reshape:2;Slice:1;GatherND:1;ArgMin:1;ReduceSum:1;Sqrt:1;ScatterElements:1;Gather:1;Pad:1;Equal:1,"x1 = palette(I) | x2 = objects(I, T, F, T) | x3 = remove(ZERO, x1) | x4 = other(x3, FIVE) | x5 = colorfilter(x2, FIVE) | x6 = lbind(index, I) | x7 = compose(x6, urcorner) | x8 = matcher(x7, FIVE) | x9 = sfilter(x5, x8) | x10 = difference(x5, x9) | x11 = apply(urcorner, x9) | x12 = apply(llcorner, x1"
261,a79310a0,200,19.701682633451963,1,baseline,Conv:1,"x1 = objects(I, T, F, T) | x2 = first(x1) | x3 = move(I, x2, DOWN) | O = replace(x3, EIGHT, TWO)"
262,a85d4709,106,20.336560905887932,6,baseline,Concat:2;Slice:1;Cast:1;Split:1;Pad:1,"x1 = ofcolor(I, FIVE) | x2 = lbind(matcher, last) | x3 = lbind(sfilter, x1) | x4 = lbind(mapply, hfrontier) | x5 = chain(x4, x3, x2) | x6 = x5(ZERO) | x7 = x5(TWO) | x8 = x5(ONE) | x9 = fill(I, TWO, x6) | x10 = fill(x9, THREE, x7) | O = fill(x10, FOUR, x8)"
263,a87f7484,680,18.477907201829847,47,baseline,Cast:8;And:7;Concat:5;Equal:4;Not:4;Slice:3;Gather:3;Where:3;Conv:2;Squeeze:2;Unsqueeze:2;Transpose:1;Split:1;ArgMax:1;Pad:1,"x1 = numcolors(I) | x2 = dmirror(I) | x3 = portrait(I) | x4 = branch(x3, dmirror, identity) | x5 = x4(I) | x6 = decrement(x1) | x7 = hsplit(x5, x6) | x8 = rbind(ofcolor, ZERO) | x9 = apply(x8, x7) | x10 = leastcommon(x9) | x11 = matcher(x8, x10) | x12 = extract(x7, x11) | O = x4(x12)"
264,a8c38be5,6054,16.291525510418335,20,baseline,Cast:3;Equal:2;Gather:2;Add:2;Concat:2;Einsum:1;Conv:1;Flatten:1;TopK:1;Transpose:1;Div:1;Mod:1;GatherND:1;Pad:1,"x1 = replace(I, FIVE, ZERO) | x2 = objects(x1, T, F, T) | x3 = apply(normalize, x2) | x4 = astuple(NINE, NINE) | x5 = canvas(FIVE, x4) | x6 = asindices(x5) | x7 = box(x6) | x8 = center(x6) | x9 = lbind(contained, ZERO) | x10 = rbind(subtract, x8) | x11 = compose(x9, x10) | x12 = chain(outbox, outbox"
265,a8d7556c,4362,16.619314053238426,13,baseline,MaxPool:2;Sub:2;Add:2;Slice:1;Cast:1;GatherND:1;ReduceMin:1;ScatterND:1;Pad:1;Equal:1,"x1 = initset(ORIGIN) | x2 = recolor(ZERO, x1) | x3 = upscale(x2, TWO) | x4 = occurrences(I, x3) | x5 = lbind(shift, x3) | x6 = mapply(x5, x4) | x7 = fill(I, TWO, x6) | x8 = add(SIX, SIX) | x9 = astuple(EIGHT, x8) | x10 = index(x7, x9) | x11 = equality(x10, TWO) | x12 = initset(x9) | x13 = add(x9, DO"
266,a9f96cdd,350,19.142066845516542,11,baseline,Pad:5;BitwiseXor:2;Slice:1;Cast:1;Max:1;Concat:1,"x1 = ofcolor(I, TWO) | x2 = replace(I, TWO, ZERO) | x3 = shift(x1, NEG_UNITY) | x4 = fill(x2, THREE, x3) | x5 = shift(x1, UP_RIGHT) | x6 = fill(x4, SIX, x5) | x7 = shift(x1, DOWN_LEFT) | x8 = fill(x6, EIGHT, x7) | x9 = shift(x1, UNITY) | O = fill(x8, SEVEN, x9)"
267,aabf363d,772,18.351015449975222,9,baseline,Slice:2;Equal:2;Pad:2;ArgMax:1;Cast:1;Where:1,"x1 = leastcolor(I) | x2 = replace(I, x1, ZERO) | x3 = leastcolor(x2) | O = replace(x2, x3, x1)"
268,aba27056,3584,16.81576522590518,76,baseline,And:11;Or:11;Cast:9;Greater:8;ReduceSum:4;ArgMax:4;GatherElements:4;Add:4;Sub:4;LessOrEqual:4;Slice:3;Where:3;Mul:2;Less:2;Equal:2;Pad:1,"x1 = objects(I, T, F, T) | x2 = mapply(toindices, x1) | x3 = box(x2) | x4 = difference(x3, x2) | x5 = delta(x2) | x6 = position(x5, x4) | x7 = interval(ZERO, NINE, ONE) | x8 = lbind(multiply, x6) | x9 = apply(x8, x7) | x10 = lbind(shift, x4) | x11 = mapply(x10, x9) | x12 = fill(I, FOUR, x5) | x13 = "
269,ac0a08a4,709,18.436144473467873,12,baseline,Cast:3;Slice:1;Pad:1;Gather:1;ReduceSum:1;Sub:1;Div:1;Unsqueeze:1;Concat:1;Resize:1,"x1 = colorcount(I, ZERO) | x2 = subtract(NINE, x1) | O = upscale(I, x2)"
270,ae3edfdc,3069,16.970892945380264,70,baseline,Cast:12;Pad:12;BitwiseAnd:8;GatherElements:8;Sub:8;Slice:4;CumSum:4;ArgMax:4;ReduceSum:4;Einsum:3;Concat:3,"x1 = objects(I, T, F, T) | x2 = replace(I, THREE, ZERO) | x3 = replace(x2, SEVEN, ZERO) | x4 = lbind(colorfilter, x1) | x5 = lbind(rbind, gravitate) | x6 = chain(x5, first, x4) | x7 = x6(TWO) | x8 = x6(ONE) | x9 = x4(THREE) | x10 = x4(SEVEN) | x11 = fork(shift, identity, x7) | x12 = fork(shift, iden"
271,ae4f1146,1187,17.92081560539033,15,baseline,Cast:3;Slice:2;Concat:2;QLinearConv:1;Flatten:1;ArgMax:1;Div:1;Mod:1;Add:1;Sub:1;Pad:1,"x1 = objects(I, F, F, T) | x2 = rbind(colorcount, ONE) | x3 = argmax(x1, x2) | O = subgrid(x3, I)"
272,aedd82e4,402,19.003547911380977,2,baseline,Slice:1;Conv:1,"x1 = objects(I, T, F, F) | x2 = colorfilter(x1, TWO) | x3 = sizefilter(x2, ONE) | x4 = merge(x3) | O = fill(I, ONE, x4)"
273,af902bf9,2160,17.32213649932179,35,baseline,Gather:9;And:6;Greater:4;Less:4;ArgMax:2;GatherElements:2;Where:2;Slice:1;ReduceMax:1;TopK:1;Cast:1;Or:1;Pad:1,"x1 = ofcolor(I, FOUR) | x2 = prapply(connect, x1, x1) | x3 = fork(either, vline, hline) | x4 = mfilter(x2, x3) | x5 = underfill(I, NEG_ONE, x4) | x6 = objects(x5, F, F, T) | x7 = compose(backdrop, inbox) | x8 = mapply(x7, x6) | x9 = fill(x5, TWO, x8) | O = replace(x9, NEG_ONE, ZERO)"
274,b0c4d837,226,19.579465000727716,22,baseline,Cast:4;Sub:4;Where:4;Einsum:3;Greater:2;Equal:1;Div:1;Clip:1;Concat:1;Pad:1,"x1 = ofcolor(I, FIVE) | x2 = ofcolor(I, EIGHT) | x3 = height(x1) | x4 = decrement(x3) | x5 = height(x2) | x6 = subtract(x4, x5) | x7 = astuple(ONE, x6) | x8 = canvas(EIGHT, x7) | x9 = subtract(SIX, x6) | x10 = astuple(ONE, x9) | x11 = canvas(ZERO, x10) | x12 = hconcat(x8, x11) | x13 = hsplit(x12, TW"
275,b190f7f5,2011,17.393612610227347,34,baseline,Cast:8;Slice:6;Concat:6;Where:3;Add:3;ReduceMax:2;Conv:2;Sub:1;Max:1;Equal:1;Einsum:1,"x1 = portrait(I) | x2 = branch(x1, vsplit, hsplit) | x3 = x2(I, TWO) | x4 = argmin(x3, numcolors) | x5 = argmax(x3, numcolors) | x6 = width(x5) | x7 = rbind(repeat, x6) | x8 = chain(dmirror, merge, x7) | x9 = upscale(x5, x6) | x10 = x8(x4) | x11 = x8(x10) | x12 = ofcolor(x11, ZERO) | O = fill(x9, ZE"
276,b1948b0a,10,22.697414907005953,1,baseline,Gather:1,"O = replace(I, SIX, TWO)"
277,b230c067,4329,16.62690815255802,25,baseline,Mul:8;MaxPool:6;Slice:3;Cast:2;Equal:2;Add:1;ReduceMax:1;Sub:1;Pad:1,"x1 = objects(I, T, T, T) | x2 = totuple(x1) | x3 = apply(normalize, x2) | x4 = leastcommon(x3) | x5 = matcher(normalize, x4) | x6 = extract(x1, x5) | x7 = replace(I, EIGHT, ONE) | O = fill(x7, TWO, x6)"
278,b27ca6d3,6131,16.278886852237314,12,baseline,Slice:2;Cast:2;Add:2;QLinearConv:1;MaxPool:1;Min:1;Mul:1;Pad:1;Equal:1,"x1 = objects(I, T, F, T) | x2 = sizefilter(x1, TWO) | x3 = mapply(outbox, x2) | O = fill(I, THREE, x3)"
279,b2862040,5555,16.37754629792627,17,baseline,QLinearConv:10;Min:2;Slice:1;Cast:1;Greater:1;Pad:1;Where:1,"x1 = objects(I, T, F, F) | x2 = colorfilter(x1, NINE) | x3 = colorfilter(x1, ONE) | x4 = rbind(bordering, I) | x5 = compose(flip, x4) | x6 = mfilter(x2, x5) | x7 = rbind(adjacent, x6) | x8 = mfilter(x3, x7) | O = fill(I, EIGHT, x8)"
280,b527c5c6,6039,16.2940062856921,112,baseline,Cast:20;Add:17;Or:10;Unsqueeze:9;GatherND:9;Concat:8;And:7;Split:6;Equal:4;Sub:4;TopK:2;Not:2;Abs:2;Less:2;Mul:2;LessOrEqual:2;Slice:1;Reshape:1;Div:1;Mod:1;Sum:1;Einsum:1,"x1 = objects(I, F, F, T) | x2 = matcher(first, TWO) | x3 = rbind(sfilter, x2) | x4 = compose(lowermost, x3) | x5 = compose(rightmost, x3) | x6 = compose(uppermost, x3) | x7 = compose(leftmost, x3) | x8 = fork(equality, x4, lowermost) | x9 = fork(equality, x5, rightmost) | x10 = fork(equality, x6, up"
281,b548a754,2386,17.22262639734214,43,baseline,Where:8;Cast:6;ArgMax:4;Less:3;Unsqueeze:3;Einsum:2;ReduceSum:2;GreaterOrEqual:2;LessOrEqual:2;And:2;Greater:2;ReduceMax:1;Slice:1;Mul:1;TopK:1;Split:1;Pad:1;Equal:1,"x1 = objects(I, T, F, T) | x2 = replace(I, EIGHT, ZERO) | x3 = leastcolor(x2) | x4 = replace(x2, x3, ZERO) | x5 = leastcolor(x4) | x6 = merge(x1) | x7 = backdrop(x6) | x8 = box(x6) | x9 = fill(I, x3, x7) | O = fill(x9, x5, x8)"
282,b60334d2,446,18.899681047979936,4,baseline,QLinearConv:2;Slice:1;Cast:1,"x1 = ofcolor(I, FIVE) | x2 = replace(I, FIVE, ZERO) | x3 = mapply(dneighbors, x1) | x4 = mapply(ineighbors, x1) | x5 = fill(x2, ONE, x3) | O = fill(x5, FIVE, x4)"
283,b6afb2da,910,18.186555400489105,1,baseline,Conv:1,"x1 = objects(I, T, F, F) | x2 = replace(I, FIVE, TWO) | x3 = colorfilter(x1, FIVE) | x4 = mapply(box, x3) | x5 = fill(x2, FOUR, x4) | x6 = mapply(corners, x3) | O = fill(x5, ONE, x6)"
284,b7249182,3735,16.774496902433082,94,baseline,Add:20;Mul:12;Unsqueeze:11;Concat:11;Sub:9;Cast:8;ArgMax:6;Squeeze:6;Div:3;Conv:2;Slice:2;Expand:2;Less:1;ScatterND:1,"x1 = objects(I, T, F, T) | x2 = merge(x1) | x3 = portrait(x2) | x4 = branch(x3, identity, dmirror) | x5 = x4(I) | x6 = objects(x5, T, F, T) | x7 = order(x6, uppermost) | x8 = first(x7) | x9 = last(x7) | x10 = color(x8) | x11 = color(x9) | x12 = compose(first, toindices) | x13 = x12(x8) | x14 = x12(x"
285,b775ac94,25234,14.864052429512313,95,baseline,Reshape:18;Cast:16;And:11;Gather:10;Add:6;Greater:5;Equal:4;Or:4;MaxPool:4;TopK:3;Slice:2;Split:2;Where:2;Conv:1;Transpose:1;Concat:1;Xor:1;Div:1;Mod:1;Mul:1;ScatterElements:1,"x1 = objects(I, F, T, T) | x2 = lbind(rbind, equality) | x3 = rbind(compose, first) | x4 = chain(x3, x2, mostcolor) | x5 = fork(sfilter, identity, x4) | x6 = fork(difference, identity, x5) | x7 = lbind(rbind, adjacent) | x8 = rbind(compose, initset) | x9 = chain(x8, x7, x6) | x10 = fork(extract, x5,"
286,b782dc8a,47001,14.242075842938403,3033,baseline,BitwiseAnd:1066;BitwiseOr:964;BitShift:925;Gather:50;Where:8;Cast:4;Equal:4;ReduceMax:3;And:2;ReduceSum:2;Slice:1;QLinearConv:1;Concat:1;Reshape:1;Pad:1,"x1 = leastcolor(I) | x2 = objects(I, T, F, F) | x3 = ofcolor(I, x1) | x4 = first(x3) | x5 = dneighbors(x4) | x6 = toobject(x5, I) | x7 = mostcolor(x6) | x8 = ofcolor(I, x7) | x9 = colorfilter(x2, ZERO) | x10 = rbind(adjacent, x8) | x11 = mfilter(x9, x10) | x12 = toindices(x11) | x13 = rbind(manhatta"
287,b8825c91,1994,17.402102049478216,8,baseline,Div:2;Gather:2;Einsum:1;Cast:1;Pad:1;Equal:1,"x1 = replace(I, FOUR, ZERO) | x2 = dmirror(x1) | x3 = papply(pair, x1, x2) | x4 = lbind(apply, maximum) | x5 = apply(x4, x3) | x6 = cmirror(x5) | x7 = papply(pair, x5, x6) | x8 = apply(x4, x7) | O = cmirror(x8)"
288,b8cdaf2b,958,18.13515222202914,14,baseline,Equal:2;Cast:2;ArgMax:2;ReduceSum:1;ReduceMax:1;Gather:1;Greater:1;Where:1;Mul:1;Concat:1;ScatterND:1,"x1 = leastcolor(I) | x2 = ofcolor(I, x1) | x3 = shift(x2, UP) | x4 = ulcorner(x3) | x5 = urcorner(x3) | x6 = shoot(x4, NEG_UNITY) | x7 = shoot(x5, UP_RIGHT) | x8 = combine(x6, x7) | O = underfill(I, x1, x8)"
289,b91ae062,742,18.39065075683262,9,baseline,Cast:2;ReduceMax:1;ReduceSum:1;Sub:1;Div:1;Floor:1;Equal:1;Einsum:1,"x1 = numcolors(I) | x2 = decrement(x1) | O = upscale(I, x2)"
290,b94a9452,355,19.127882210524582,10,baseline,Gather:2;Einsum:2;ReduceSum:1;TopK:1;Equal:1;Cast:1;OneHot:1;Pad:1,"x1 = objects(I, F, F, T) | x2 = first(x1) | x3 = subgrid(x2, I) | x4 = leastcolor(x3) | x5 = mostcolor(x3) | O = switch(x3, x4, x5)"
291,b9b7f026,68,20.780492294823894,2,baseline,Einsum:1;Pad:1,"x1 = objects(I, T, F, F) | x2 = argmin(x1, size) | x3 = rbind(adjacent, x2) | x4 = remove(x2, x1) | x5 = extract(x4, x3) | x6 = color(x5) | O = canvas(x6, UNITY)"
292,ba26e723,434,18.926955465899596,3,baseline,Slice:1;Mul:1;ScatterND:1,"x1 = rbind(divide, THREE) | x2 = rbind(multiply, THREE) | x3 = compose(x2, x1) | x4 = fork(equality, identity, x3) | x5 = compose(x4, last) | x6 = ofcolor(I, FOUR) | x7 = sfilter(x6, x5) | O = fill(I, SIX, x7)"
293,ba97ae07,1288,17.8391540933357,42,baseline,Add:5;Expand:5;Squeeze:4;Concat:4;Cast:3;Gather:3;Less:3;Slice:2;ArgMin:2;GatherElements:2;ArgMax:2;And:2;GatherND:1;Equal:1;Unsqueeze:1;Xor:1;ScatterND:1,"x1 = objects(I, T, F, T) | x2 = totuple(x1) | x3 = apply(color, x2) | x4 = mostcommon(x3) | x5 = ofcolor(I, x4) | x6 = backdrop(x5) | O = fill(I, x4, x6)"
294,bb43febb,910,18.186555400489105,1,baseline,Conv:1,"x1 = objects(I, T, F, F) | x2 = colorfilter(x1, FIVE) | x3 = compose(backdrop, inbox) | x4 = mapply(x3, x2) | O = fill(I, TWO, x4)"
295,bbc9ae5d,1604,17.61974421157354,19,baseline,Where:4;ReduceSum:3;Cast:3;Less:3;Slice:1;ArgMax:1;Mul:1;Add:1;Pad:1;Equal:1,"x1 = width(I) | x2 = palette(I) | x3 = halve(x1) | x4 = vupscale(I, x3) | x5 = rbind(shoot, UNITY) | x6 = other(x2, ZERO) | x7 = ofcolor(x4, x6) | x8 = mapply(x5, x7) | O = fill(x4, x6, x8)"
296,bc1d5164,330,19.200907345539473,37,baseline,Split:12;Or:7;Equal:5;Slice:4;Concat:4;GlobalMaxPool:1;ArgMax:1;Cast:1;Where:1;Pad:1,"x1 = leastcolor(I) | x2 = crop(I, ORIGIN, THREE_BY_THREE) | x3 = crop(I, TWO_BY_ZERO, THREE_BY_THREE) | x4 = tojvec(FOUR) | x5 = crop(I, x4, THREE_BY_THREE) | x6 = astuple(TWO, FOUR) | x7 = crop(I, x6, THREE_BY_THREE) | x8 = canvas(ZERO, THREE_BY_THREE) | x9 = rbind(ofcolor, x1) | x10 = astuple(x2, "
297,bd4472b8,1389,17.763660657245655,21,baseline,Cast:4;Mul:3;Add:2;Slice:1;ArgMax:1;ReduceMax:1;ReduceSum:1;Mod:1;Transpose:1;Gather:1;Less:1;Unsqueeze:1;Concat:1;Equal:1;Pad:1,"x1 = width(I) | x2 = astuple(TWO, x1) | x3 = crop(I, ORIGIN, x2) | x4 = tophalf(x3) | x5 = dmirror(x4) | x6 = hupscale(x5, x1) | x7 = repeat(x6, TWO) | x8 = merge(x7) | O = vconcat(x3, x8)"
298,bda2d7a6,135,20.09472522156157,2,baseline,Slice:1;Einsum:1,"x1 = partition(I) | x2 = order(x1, size) | x3 = apply(color, x2) | x4 = last(x2) | x5 = remove(x4, x2) | x6 = repeat(x4, ONE) | x7 = combine(x6, x5) | x8 = mpapply(recolor, x3, x7) | O = paint(I, x8)"
299,bdad9b1f,50,21.087976994571854,1,baseline,Einsum:1,"x1 = ofcolor(I, TWO) | x2 = ofcolor(I, EIGHT) | x3 = center(x1) | x4 = center(x2) | x5 = hfrontier(x3) | x6 = vfrontier(x4) | x7 = intersection(x5, x6) | x8 = fill(I, TWO, x5) | x9 = fill(x8, EIGHT, x6) | O = fill(x9, FOUR, x7)"
300,be94b721,540,18.70843086044168,32,baseline,Cast:8;ReduceSum:3;Equal:2;Einsum:2;Log:2;Div:2;Sub:2;Unsqueeze:2;Where:2;TopK:1;Gather:1;Concat:1;Add:1;Slice:1;And:1;Pad:1,"x1 = objects(I, T, F, T) | x2 = argmax(x1, size) | O = subgrid(x2, I)"
301,beb8660c,1141,17.960339650137925,21,baseline,Sub:3;Add:3;ReduceSum:2;Cast:2;Pad:2;Concat:2;Slice:1;ReduceMax:1;Div:1;Min:1;Equal:1;Where:1;Greater:1,"x1 = shape(I) | x2 = objects(I, T, F, T) | x3 = compose(invert, size) | x4 = order(x2, x3) | x5 = apply(normalize, x4) | x6 = size(x5) | x7 = interval(ZERO, x6, ONE) | x8 = apply(toivec, x7) | x9 = mpapply(shift, x5, x8) | x10 = canvas(ZERO, x1) | x11 = paint(x10, x9) | O = rot180(x11)"
302,c0f76784,1774,17.519007837130474,6,baseline,QLinearConv:3;Slice:1;Cast:1;Concat:1,"x1 = objects(I, T, F, F) | x2 = colorfilter(x1, ZERO) | x3 = sfilter(x2, square) | x4 = sizefilter(x3, ONE) | x5 = merge(x4) | x6 = argmax(x3, size) | x7 = merge(x3) | x8 = fill(I, SEVEN, x7) | x9 = fill(x8, EIGHT, x6) | O = fill(x9, SIX, x5)"
303,c1d99e64,1620,17.60981857177357,15,baseline,Where:3;Einsum:2;Sign:2;ReduceSum:2;Equal:2;Cast:2;Sub:1;Greater:1,"x1 = frontiers(I) | x2 = merge(x1) | O = fill(I, TWO, x2)"
304,c3e719e8,1441,17.726907404000478,12,baseline,Cast:2;Equal:2;Slice:1;GlobalAveragePool:1;ArgMax:1;Conv:1;Reshape:1;Where:1;DepthToSpace:1;Pad:1,"x1 = mostcolor(I) | x2 = hconcat(I, I) | x3 = upscale(I, THREE) | x4 = ofcolor(x3, x1) | x5 = asindices(x3) | x6 = difference(x5, x4) | x7 = hconcat(x2, I) | x8 = vconcat(x7, x7) | x9 = vconcat(x8, x7) | O = fill(x9, ZERO, x6)"
305,c3f564a4,636,18.544801436659878,5,baseline,BitwiseAnd:2;GlobalMaxPool:1;ArgMax:1;Gather:1,"x1 = asindices(I) | x2 = dmirror(I) | x3 = invert(NINE) | x4 = papply(pair, I, x2) | x5 = lbind(apply, maximum) | x6 = apply(x5, x4) | x7 = ofcolor(x6, ZERO) | x8 = difference(x1, x7) | x9 = toobject(x8, x6) | x10 = interval(x3, NINE, ONE) | x11 = interval(NINE, x3, NEG_ONE) | x12 = pair(x10, x11) |"
306,c444b776,300,19.2962175253438,1,baseline,Einsum:1,"x1 = objects(I, T, F, F) | x2 = colorfilter(x1, ZERO) | x3 = argmin(x2, size) | x4 = backdrop(x3) | x5 = toobject(x4, I) | x6 = normalize(x5) | x7 = lbind(shift, x6) | x8 = compose(x7, ulcorner) | x9 = mapply(x8, x2) | O = paint(I, x9)"
307,c59eb873,5,23.3905620875659,1,baseline,MaxRoiPool:1,"O = upscale(I, TWO)"
308,c8cbb738,1488,17.694811784606962,61,baseline,Cast:8;Mul:7;Where:6;Einsum:5;Sub:5;GatherElements:4;Sqrt:3;Add:3;Equal:2;Div:2;And:2;Concat:2;LessOrEqual:2;ArgMax:1;TopK:1;Greater:1;Max:1;ReduceMax:1;Less:1;Flatten:1;ScatterElements:1;Reshape:1;Pad:1,"x1 = mostcolor(I) | x2 = fgpartition(I) | x3 = valmax(x2, shape) | x4 = canvas(x1, x3) | x5 = apply(normalize, x2) | x6 = lbind(subtract, x3) | x7 = chain(halve, x6, shape) | x8 = fork(shift, identity, x7) | x9 = mapply(x8, x5) | O = paint(x4, x9)"
309,c8f0f002,10,22.697414907005953,1,baseline,Gather:1,"O = replace(I, SEVEN, FIVE)"
310,c909285e,3287,16.90226942633578,48,baseline,Mul:7;Unsqueeze:5;Sub:4;Equal:4;Cast:4;Einsum:3;Or:3;Gather:3;Squeeze:3;Add:3;Concat:3;Div:2;ReduceSum:1;ArgMax:1;Slice:1;Pad:1,"x1 = leastcolor(I) | x2 = ofcolor(I, x1) | O = subgrid(x2, I)"
311,c9e6f938,30,21.598802618337846,1,baseline,Gather:1,"x1 = vmirror(I) | O = hconcat(I, x1)"
312,c9f8e694,20,22.00426772644601,1,baseline,Einsum:1,"x1 = height(I) | x2 = width(I) | x3 = ofcolor(I, ZERO) | x4 = astuple(x1, ONE) | x5 = crop(I, ORIGIN, x4) | x6 = hupscale(x5, x2) | O = fill(x6, ZERO, x3)"
313,caa06a1f,192,19.742504627972217,1,baseline,Einsum:1,"x1 = asobject(I) | x2 = shape(I) | x3 = decrement(x2) | x4 = index(I, x3) | x5 = double(x2) | x6 = canvas(x4, x5) | x7 = paint(x6, x1) | x8 = objects(x7, F, F, T) | x9 = first(x8) | x10 = shift(x9, LEFT) | x11 = vperiod(x10) | x12 = hperiod(x10) | x13 = neighbors(ORIGIN) | x14 = lbind(mapply, neighb"
